ticker,name,open,high,low,close,prev_close,volume
1240,茂生農經,58.5,58.7,58.5,58.6,58.5,26604
1264,德麥,282.5,283.0,282.5,282.5,283.5,15778
1268,漢來美食,159.0,159.5,159.0,159.0,159.0,6258
1294,漢田生技,78.6,78.6,77.1,78.5,78.7,26772
1295,生合,88.9,91.2,88.6,89.4,87.80000000000001,121051
1336,台翰,16.0,16.15,16.0,16.15,15.999999999999998,65002
1565,精華,116.0,117.5,116.0,116.5,116.0,124824
1569,濱川,53.9,56.2,53.7,55.9,53.1,1021359
1570,力肯,32.0,32.45,31.9,31.9,31.9,93388
1580,新麥,134.5,136.0,134.5,135.5,136.0,9853
1584,精剛,22.0,22.2,21.9,22.2,21.8,686771
1586,和勤,27.55,27.6,26.7,26.7,27.3,492263
1591,駿吉-KY,49.75,50.7,49.25,49.45,49.25,94493
1593,祺驊,29.5,29.6,29.0,29.15,29.599999999999998,39130
1595,川寶,37.0,37.0,36.7,36.75,36.95,25130
1599,宏佳騰,25.75,26.2,25.7,25.8,25.8,16378
1742,台蠟,13.6,13.6,13.45,13.45,13.25,4590
1777,生泰,74.6,74.6,74.2,74.3,74.3,15328
1781,合世,11.25,11.5,11.25,11.35,11.4,10104
1784,訊聯,104.0,104.5,99.6,99.6,103.0,579345
1785,光洋科,63.5,64.0,61.9,62.1,62.4,6023575
1788,杏昌,137.0,137.0,137.0,137.0,137.0,2217
1796,金穎生技,48.0,48.0,48.0,48.0,49.0,4000
1799,易威,34.15,34.5,33.65,33.7,33.650000000000006,49147
1813,寶利徠,12.9,12.9,12.9,12.9,12.9,4120
1815,富喬,81.2,83.4,80.6,80.8,80.0,25485167
2035,唐榮,28.0,28.3,28.0,28.3,27.3,18151
2061,風青,18.9,19.35,18.5,18.6,18.75,220851
2063,世鎧,25.15,25.2,25.15,25.2,25.2,6247
2064,晉椿,11.55,11.55,11.4,11.4,11.35,8007
2065,世豐,29.0,29.15,28.7,29.15,28.849999999999998,30267
2066,世德,51.7,51.7,50.0,50.4,50.0,6499
2067,嘉鋼,9.2,9.98,9.1,9.98,9.08,209689
2070,精湛,39.2,40.0,38.7,39.7,39.1,36326
2073,雄順,27.45,27.45,27.45,27.45,27.4,1002
2221,大甲,28.35,28.5,28.35,28.4,28.349999999999998,10008
2230,泰茂,96.6,99.0,96.6,98.2,96.5,95991
2235,謚源,33.05,34.2,33.05,33.25,33.8,7226
2596,綠意,35.1,37.9,35.1,37.3,34.699999999999996,537173
2640,大車隊,129.0,132.0,128.5,130.5,130.0,29869
2641,正德,20.3,20.45,20.2,20.35,20.25,1923673
2643,捷迅,73.4,74.0,73.4,74.0,73.4,32034
2718,全心投控,51.6,52.5,51.6,52.4,51.5,45220
2719,燦星旅,30.55,30.95,30.5,30.95,30.55,11191
2724,藝舍-KY,18.45,18.5,18.2,18.5,18.45,12000
2726,雅茗-KY,14.05,14.05,13.4,13.45,14.399999999999999,716029
2729,瓦城,176.0,176.0,175.5,176.0,176.0,7047
2732,六角,71.9,71.9,71.3,71.4,71.9,16509
2734,易飛網,18.65,18.75,18.6,18.65,18.65,20436
2736,富野,15.05,15.1,14.65,14.85,14.85,100386
2740,天蔥,28.15,28.15,27.8,28.05,27.35,6109
2743,山富,78.0,78.9,78.0,78.0,77.8,73092
2745,五福,105.0,106.0,104.5,105.5,105.0,89083
2751,王座,63.2,64.1,63.0,63.9,63.9,11509
2752,豆府,207.5,209.0,207.5,208.5,209.0,8944
2754,亞洲藏壽司,85.6,85.6,85.1,85.6,85.0,13117
2755,揚秦,119.0,124.5,119.0,122.0,121.0,36810
2756,聯發國際,91.0,91.3,91.0,91.2,90.0,3100
2916,滿心,49.5,49.5,49.1,49.15,49.55,15878
2926,誠品生活,39.45,39.45,39.45,39.45,38.6,1231
2937,集雅社,43.4,43.85,43.4,43.85,44.050000000000004,3046
2947,振宇五金,84.3,84.3,81.9,82.6,81.5,11771
2949,欣新網,69.0,69.0,69.0,69.0,68.8,1368
3064,泰偉,51.0,51.0,51.0,51.0,49.35,1143
3066,李洲,13.85,13.85,13.75,13.8,13.850000000000001,21236
3067,全域,18.75,19.55,18.75,19.55,19.900000000000002,5150
3071,協禧,22.75,23.35,22.5,22.85,22.55,239125
3073,天方能源,31.9,32.2,31.2,31.2,31.599999999999998,88859
3078,僑威,68.9,69.4,68.5,69.4,68.9,691105
3081,聯亞,603.0,628.0,577.0,585.0,592.0,6606821
3083,網龍,35.8,35.9,35.45,35.5,35.8,59928
3085,新零售,14.7,14.7,14.7,14.7,14.7,1403
3086,華義,218.0,221.5,217.0,217.5,217.0,57259
3088,艾訊,76.3,77.6,76.3,77.3,76.5,122067
3093,港建*,25.75,25.75,25.2,25.5,25.45,66239
3095,及成,27.5,28.15,27.5,28.15,27.5,3926
3105,穩懋,173.0,179.0,172.0,174.0,168.5,25475517
3114,好德,24.75,24.9,24.55,24.75,24.75,61126
3115,富榮綱,10.5,10.5,10.5,10.5,10.5,4033
3118,進階,32.6,32.85,32.6,32.75,32.75,18297
3122,笙泉,21.1,21.3,21.0,21.05,21.0,37059
3128,昇銳,26.3,27.9,26.3,27.5,26.25,937351
3131,弘塑,1405.0,1410.0,1390.0,1400.0,1375.0,323758
3141,晶宏,51.2,52.2,50.4,50.8,50.699999999999996,295103
3147,大綜,165.5,167.5,165.5,166.5,165.5,76754
3152,璟德,134.0,137.5,133.0,133.0,135.0,909656
3158,嘉實,93.2,93.2,90.8,90.8,90.5,8401
3162,精確,59.9,60.6,59.4,59.9,59.3,938349
3163,波若威,345.5,354.0,345.5,354.0,340.5,1839881
3169,亞信,95.7,97.1,93.5,94.2,95.0,118172
3171,炎洲流通,47.1,47.2,46.8,46.8,46.699999999999996,11714
3176,基亞,31.9,32.05,31.5,31.55,31.95,213029
3178,公準,59.0,59.0,55.6,55.9,57.6,333377
3188,鑫龍騰,31.05,31.35,31.0,31.15,30.9,450365
3191,雲嘉南,18.75,18.8,18.7,18.8,19.05,7664
3205,佰研,52.5,52.8,50.2,50.8,52.3,329451
3206,志豐,33.1,33.1,32.05,32.15,32.449999999999996,48062
3207,耀勝,66.1,67.2,65.7,66.3,65.8,82594
3211,順達,318.5,341.0,308.5,332.0,314.5,27000077
3213,茂訊,101.5,103.0,100.5,103.0,100.5,256782
3217,優群,163.0,163.5,161.0,163.0,162.5,384669
3218,大學光,141.0,144.5,141.0,144.5,141.0,129517
3219,倚強科,56.8,60.7,56.8,58.7,55.7,754256
3221,台嘉碩,20.8,20.8,20.4,20.5,20.7,153891
3224,三顧,43.65,45.0,43.5,43.7,43.650000000000006,41001
3226,龍鋒,43.2,43.2,42.0,43.2,42.25,11112
3227,原相,201.0,206.0,198.5,205.5,199.0,1131673
3228,金麗科,131.0,133.0,130.5,130.5,131.5,118563
3230,錦明,39.0,39.0,38.15,39.0,38.15,130323
3232,昱捷,23.45,23.75,23.4,23.75,23.55,50200
3234,光環,43.8,44.8,42.5,43.15,42.9,760628
3236,千如,29.3,29.6,27.5,28.05,28.7,13932415
3252,海灣,19.8,19.85,19.75,19.85,19.85,29322
3259,鑫創,21.6,22.4,21.6,22.4,21.549999999999997,27053
3260,威剛,198.0,199.5,188.5,188.5,191.5,16219001
3264,欣銓,89.9,90.7,89.4,90.5,89.0,2436623
3265,台星科,102.5,109.5,102.5,104.0,100.0,2653184
3268,海德威,18.35,18.35,17.8,18.0,18.0,10040
3272,東碩,19.9,20.85,19.5,19.5,19.4,209415
3276,宇環,15.4,15.5,15.2,15.2,15.399999999999999,124911
3284,太普高,20.8,21.05,20.65,20.8,20.650000000000002,87708
3285,微端,29.3,29.5,28.8,28.95,29.05,10562
3287,廣寰科,29.4,29.5,29.25,29.25,29.2,32000
3288,點晶,16.8,17.8,16.8,16.9,16.799999999999997,8999
3289,宜特,107.5,110.5,106.5,109.0,106.0,1714456
3290,東浦,42.1,43.85,42.1,43.6,41.95,643303
3293,鈊象,705.0,712.0,703.0,708.0,703.0,673670
3294,英濟,39.35,40.0,39.25,39.55,38.8,656777
3297,杭特,40.95,41.45,40.95,41.1,40.85,119916
3303,岱稜,45.2,45.3,45.15,45.15,44.75,40211
3306,鼎天,49.75,50.1,49.1,49.15,49.9,299523
3310,佳穎,85.9,87.4,82.9,87.2,84.9,160495
3313,斐成,14.9,15.3,14.9,15.1,14.85,184246
3317,尼克森,44.75,45.2,44.65,44.9,44.6,126996
3322,建舜電,16.15,16.25,15.2,15.65,15.75,2064774
3323,加百裕,44.6,44.75,42.0,43.0,44.65,36457605
3324,雙鴻,910.0,975.0,906.0,974.0,895.0,8741552
3325,旭品,17.8,18.15,17.8,18.05,17.8,236685
3332,幸康,57.1,57.1,56.6,56.7,56.5,6326
3339,泰谷,24.05,24.35,23.7,24.25,23.9,241504
3349,寶德,31.35,31.5,30.65,30.9,31.349999999999998,1691754
3354,律勝,21.45,21.75,20.35,20.7,21.45,2144005
3357,臺慶科,146.0,147.5,142.5,145.5,144.5,591511
3360,尚立,13.0,13.0,12.8,12.85,13.0,121497
3362,先進光,91.4,92.4,90.9,92.4,90.80000000000001,231069
3363,上詮,413.0,419.5,396.0,407.0,399.0,7122877
3372,典範,19.65,19.65,18.75,18.75,19.25,832110
3373,熱映,18.15,18.15,17.9,17.95,17.9,36143
3374,精材,132.5,134.5,131.0,132.5,131.0,1192686
3379,彬台,50.0,50.0,49.3,49.7,49.300000000000004,127567
3388,崇越電,62.2,62.3,61.9,61.9,61.8,24904
3390,旭軟,21.55,21.8,21.55,21.7,21.55,31307
3402,漢科,127.5,128.0,123.0,127.0,125.5,1093599
3426,台興,40.0,40.05,40.0,40.05,40.0,5130
3430,奇鈦科,57.7,59.5,57.6,59.4,57.6,228447
3434,哲固,31.1,31.4,31.0,31.0,31.1,39664
3438,類比科,52.5,53.0,52.4,52.4,52.4,72069
3441,聯一光,38.8,39.9,38.8,39.0,38.7,187738
3444,利機,55.0,55.6,54.6,54.6,54.800000000000004,160261
3455,由田,91.5,93.0,91.5,92.5,91.3,145373
3465,進泰電子,45.9,46.0,45.9,45.95,45.95,5656
3466,德晉,42.4,43.05,42.1,42.8,42.4,323853
3467,台灣精材,45.6,49.55,45.6,49.2,45.6,324104
3479,安勤,91.1,92.6,91.1,92.4,90.80000000000001,168358
3483,力致,92.2,92.2,90.5,91.1,90.39999999999999,222482
3484,崧騰,48.35,48.35,47.4,47.75,47.55,132895
3489,森寶,23.7,24.8,23.6,24.75,23.5,184157
3490,單井,25.3,25.75,24.85,24.85,25.200000000000003,507972
3491,昇達科,606.0,624.0,600.0,624.0,590.0,736245
3492,長盛,26.4,26.4,25.95,26.1,26.150000000000002,63078
3498,陽程,48.6,48.6,47.8,48.0,47.5,165260
3499,環天科,16.9,17.3,16.3,16.4,16.9,531256
3508,位速,22.5,22.8,22.45,22.7,22.2,70016
3511,矽瑪,21.1,21.3,20.45,20.5,20.9,386211
3512,皇龍,21.9,21.9,21.7,21.9,21.9,24429
3516,亞帝歐,19.8,19.95,19.7,19.9,19.799999999999997,23036
3520,華盈,16.55,16.8,16.5,16.65,16.5,67139
3521,鴻翊,14.65,14.65,14.15,14.15,14.6,299115
3522,御嵿,18.0,18.25,17.55,17.95,18.099999999999998,122376
3523,迎輝,16.45,16.65,16.45,16.65,16.65,5024
3526,凡甲,243.0,243.5,242.0,242.0,242.0,147578
3527,聚積,61.1,63.0,59.4,59.6,62.6,563962
