ticker,name,close,volume
00944,野村趨勢動能高息,14.43,877573
00945B,凱基美國非投等債,14.42,5618738
00946,群益科技高息成長,9.67,3641817
00947,台新臺灣IC設計,17.7,1450523
00949,復華日本龍頭,18.13,1238868
00951,台新日本半導體,11.26,2518806
00952,凱基台灣AI50,11.72,1759237
00953B,群益優選非投等債,9.63,21686255
00954,中信日本半導體,12.07,1688649
00956,中信日經高股息,11.18,119452
00960,野村全球航運龍頭,14.11,665416
00961,FT臺灣永續高息,9.34,2572680
00962,台新AI優息動能,10.76,188668
00963,中信全球高股息,11.15,650988
00964,中信亞太高股息,11.26,3159449
00965,元大航太防衛科技,22.44,6654305
00971,野村美國研發龍頭,16.93,3724645
00972,野村日本動能高息,17.64,455370
009800,中信NASDAQ,11.07,3019995
009801,中信美國創新科技,11.21,3077661
009802,富邦旗艦50,10.99,3096335
009803,保德信市值動能50,12.81,4206091
009804,聯邦台精彩50,14.26,467947
009805,新光美國電力基建,12.66,6296338
009808,華南永昌優選50,19.16,625483
009809,富邦淨零ESG50,10.39,2800578
00980A,主動野村臺灣優選,14.8,18159097
009810,保德信全球藍籌,18.36,366307
009811,統一美國50,11.63,7271608
009812,野村日本東證,10.47,3385549
009813,貝萊德標普卓越50,10.44,11300154
00981A,主動統一台股增長,16.33,136725091
00981T,平衡凱基雙核收息,10.46,3561899
00982A,主動群益台灣強棒,14.04,66886239
00982D,主動富邦動態入息,10.13,5539249
00983A,主動中信ARK創新,12.28,6833398
00983D,主動富邦複合收益,10.21,1922688
00984A,主動安聯台灣高息,10.64,4095818
00985A,主動野村台灣50,12.96,21881805
00985B,群益ESG投等債0-5,10.21,6594466
00986A,主動台新龍頭成長,11.49,2194611
00988A,主動統一全球創新,10.15,20738517
00989A,主動摩根美國科技,15.21,3146672
01001T,土銀富邦R1,11.6,94000
01002T,土銀國泰R1,14.5,228000
01004T,土銀富邦R2,10.75,38100
01007T,兆豐國泰R2,13.38,31000
01009T,王道圓滿R1,6.95,155000
020012,富邦行動通訊N,13.6,2000
02001L,富邦蘋果正二N,47.42,83000
02001R,富邦蘋果反一N,0.89,13000
020020,元大台股領航N,15.2,21000
020028,元大特選電動車N,12.93,2000
020029,元大ESG高股息N,9.53,75000
020030,統一智慧電動車N,8.68,2000
020031,統一IC設計臺灣N,6.2,20000
020032,元大綠能N,7.74,4000
020034,元大IC設計N,7.54,9000
020036,元大金融配息N,7.19,1000
020037,元大金融高股息N,7.99,5000
020038,元大ESG配息N,7.37,9000
020039,元大加權N,8.86,24000
1101,台泥,22.35,23624136
1101B,台泥乙特,45.6,6588
1102,亞泥,38.2,5029978
1103,嘉泥,14.0,186658
1104,環泥,30.4,1544789
1108,幸福,14.95,85460
1109,信大,15.55,29504
1110,東泥,16.55,208612
1201,味全,14.7,293208
1203,味王,39.65,5977
1210,大成,51.5,1001804
1213,大飲,9.96,18556
1215,卜蜂,144.0,1177163
1216,統一,74.7,6353184
1217,愛之味,10.45,396879
1218,泰山,18.05,279455
1219,福壽,13.6,108857
1220,台榮,12.5,55546
1225,福懋油,30.05,79326
1227,佳格,30.6,388233
1229,聯華,47.05,1312158
1231,聯華食,97.7,218885
1232,大統益,145.0,47269
1233,天仁,31.9,31411
1234,黑松,37.95,80677
1235,興泰,47.15,9006
1236,宏亞,25.3,81481
1256,鮮活果汁-KY,136.5,19416
1301,台塑,39.85,14845130
1303,南亞,59.9,73179542
1304,台聚,11.7,2827922
1305,華夏,11.3,1037059
1307,三芳,32.1,704029
1308,亞聚,13.9,1583689
1309,台達化,11.6,724029
1310,台苯,8.85,555454
1312,國喬,11.75,3575460
1312A,國喬特,21.7,7000
1313,聯成,10.85,1950665
1314,中石化,7.81,10858070
1315,達新,64.3,54810
1316,上曜,15.5,4027767
1319,東陽,87.9,6074221
1321,大洋,35.2,196468
1323,永裕,19.5,26056
1324,地球,10.45,37961
1325,恆大,31.5,260788
1326,台化,31.7,11425431
1337,再生-KY,4.87,358112
1338,廣華-KY,20.35,12083
1339,昭輝,44.2,20574
