ticker,name,close,volume
0050,元大台灣50,63.45,60240
0051,元大中型100,91.65,77
0052,富邦科技,36.64,42671
0053,元大電子,137.65,12
0055,元大MSCI金融,31.0,2238
0056,元大高股息,36.46,18404
0057,富邦摩台,185.65,16
0061,元大寶滬深,22.6,268
006203,元大MSCI台灣,115.5,3
006204,永豐臺灣加權,142.65,15
006205,富邦上証,38.34,248
006206,元大上證50,35.89,77
006207,復華滬深,29.89,172
006208,富邦台50,145.5,2142
00631L,元大台灣50正2,347.85,2181
00632R,元大台灣50反1,16.82,78898
00633L,富邦上証正2,49.08,8694
00634R,富邦上証反1,3.25,111
00635U,期元大S&P黃金,45.9,6132
00636,國泰中國A50,26.42,1794
00636K,國泰中國A50+U,8.49,0
00637L,元大滬深300正2,20.09,55727
00638R,元大滬深300反1,6.89,114
00639,富邦深100,14.99,1062
00640L,富邦日本正2,77.6,355
00641R,富邦日本反1,4.59,2904
00642U,期元大S&P石油,15.23,6470
00643,群益深証中小,16.36,3051
00645,富邦日本,47.69,498
00646,元大S&P500,67.6,1087
00647L,元大S&P500正2,118.05,137
00648R,元大S&P500反1,4.32,504
00650L,復華香港正2,17.91,7960
00651R,復華香港反1,5.26,291
00652,富邦印度,37.04,191
00653L,富邦印度正2,58.0,194
00654R,富邦印度反1,6.26,8
00655L,國泰中國A50正2,34.22,1620
00656R,國泰中國A50反1,6.09,549
00657,國泰日經225,59.55,97
00657K,國泰日經225+U,19.04,0
00660,元大歐洲50,41.86,10
00661,元大日經225,65.05,611
00662,富邦NASDAQ,102.95,1665
00663L,國泰臺灣加權正2,45.41,5901
00664R,國泰臺灣加權反1,2.73,7491
00665L,富邦恒生國企正2,11.1,21934
00666R,富邦恒生國企反1,8.74,78
00668,國泰美國道瓊,55.6,905
00668K,國泰美國道瓊+U,17.79,0
00669R,國泰美國道瓊反1,5.63,4126
00670L,富邦NASDAQ正2,167.05,693
00671R,富邦NASDAQ反1,2.82,3202
00673R,期元大S&P原油反1,28.3,2732
00674R,期元大S&P黃金反1,5.96,1528
00675L,富邦臺灣加權正2,138.0,1789
00676R,富邦臺灣加權反1,9.25,1219
00678,群益那斯達克生技,34.77,514
00680L,元大美債20正2,7.29,28733
00681R,元大美債20反1,20.7,2
00682U,期元大美元指數,20.18,6
